Timestamp,Email Address,Student ID,First Name,Last Name,Major,GPA,Desired Team Role,What is your time commitment to this course?,Level of Detail,Problem Solving Approach,Conflicts,General skills and interests [Writing],General skills and interests [Presentation Generation],General skills and interests [Presentation Delivery],General skills and interests [Project Management],General skills and interests [Marketing / Customer Relationship],Mechanical Skills and Interests [Machining],Mechanical Skills and Interests [CNC],Mechanical Skills and Interests [Fluids],Mechanical Skills and Interests [Heat Transfer],Mechanical Skills and Interests [Mechanics of Materials],Mechanical Skills and Interests [Finite Element Analysis],Mechanical Skills and Interests [Kinematics and Dynamics],Mechanical Skills and Interests [Computational Fluid Dynamics],Electrical Skills and Interests [Circuits],"Electrical Skills and Interests [Digital/FPGA Design (Vivado, etc.)]",Electrical Skills and Interests [Communication Systems],Electrical Skills and Interests [Power Electronics and Systems],Electrical Skills and Interests [Signals and Systems ],Electrical Skills and Interests [Wireless Communication],Electrical Skills and Interests [Control Systems],Electrical Skills and Interests [Electromechanics],"Electrical Skills and Interests [PCB Design (Eagle, ExpressPCB, etc.)]",Computer Systems Skills and interests [Windows PC],Computer Systems Skills and interests [Mac PC],Computer Systems Skills and interests [Arduino],Computer Systems Skills and interests [Raspberry Pi],Computer Systems Skills and interests [Build your own PC],"Computer Systems Skills and interests [IoT (Alexa, Google assistant, etc.)]",Software Skills and Interests [Matlab],Software Skills and Interests [C/C++],Software Skills and Interests [Java],Software Skills and Interests [Python],Software Skills and Interests [Embedded],Software Skills and Interests [Networking],Software Skills and Interests [Operating Systems/Linux],Software Skills and Interests [Machine Learning/ Big Data],Software Skills and Interests [App development (iOS and/or Android)],"Software Skills and Interests [Cloud computing (AWS, Azure, etc.)]",Software Skills and Interests [Database (relational or non-relational)],Project: [Competition - Baja SAE],Project: [Competition - ASME Human Powered Vehicle],Project: [Community - Gyroplane],Project: [Community - Waste for Life Tijuana ],Project: [Community - Mobile Steam Collaboratory],Project: [eTrack - Life Box],Project: [eTrack - Discrete Solar],Project: [eTrack - Sunshine Box],Project: [eTrack - Helmet Sensor],Project: [Industry - Glaukos - Human Periorbital Tissue],Project: [Industry - Clear Blue Sea - Marine Robot],Project: [Industry - ThermoFisher - Bench Top Filler],Project: [Industry - General Atomics - Mockingjay],Project: [Industry - Hatsu - Charging Station for UAV],Project: [Industry - Solar Turbines - Automatic Leveling],Project: [Industry - Northrup - Active Field Cancellation],Project: [Industry - MexLog - Combo Saddle and Elevation System],Project: [Industry - Cubic - Accesible Fare Payment],Project: [Industry - SDGE - Integrated Control of Local Battery],Project: [Industry -Hi-Q Environmental Products - Testing Collection Efficiency of Annular Kinetic Impactor],Project: [CS - Northrup - Machine Learning],Project: [CS - COR.PER - Insights],Project: [CS - Jacobitz - Computing Clusters],Project: [CS - Atlazo - Heart Rhythm Monitoring],Project: [CS - Georgia Tech - Automated System Deployment and Configuration],Project: [CS - Seamgen - Platform for software design],Project: [CS - Hoople - Project Team Match],Project: [CS - Nuuve Corp - Electric Vehicle and User Identification ],Project: [CS - Bennett - Financial Planning Note-taking Application],Project: [CS - Clarke - Unity 3D Game],Project: [CS - Jacobs -  Nudge App & Kiosk],Are you already a member of an entrepreneurship team? ,Confidential Comments to Instructors,Gender,What categories do you most identify as? Check all that apply.
9/10/2019 17:59,GRXF@sandiego.edu,27,YCY,UWE,Computer Science,4,Contributor,2-3 hours outside of class per week,4,2,,Proficient,Somewhat capable,Proficient,Somewhat familiar,Somewhat capable,Interested and able to learn,No interest,No interest,No interest,Interested and able to learn,No interest,No interest,No interest,Interested and able to learn,No interest,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,No interest,No interest,No interest,Proficient,Somewhat Familiar,Interested and able to learn,Interested and able to learn,Interested and able to learn,Somewhat Familiar,No interest,Somewhat Capable,Proficient,Somewhat Familiar,Interested and able to learn,Somewhat Capable,Somewhat Capable,Interested and able to learn,Somewhat Familiar,Interested and able to learn,Somewhat Familiar,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,3,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,2,Avoid,Avoid,,5,Avoid,1,Avoid,4,,7,6,Avoid,,No,,Female,Asian / Pacific Islander
9/10/2019 17:59,MVCX@sandiego.edu,28,VNE,HIL,Integrated Engineering,3.47,Contributor,2-3 hours outside of class per week,4,2,,Proficient,Proficient,Proficient,Proficient,Proficient,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Proficient,Somewhat capable,Somewhat capable,Somewhat capable,Somewhat capable,Somewhat capable,Somewhat capable,Somewhat capable,Somewhat capable,Adept,Adept,Adept,Adept,Somewhat Capable,Somewhat Capable,Adept,Adept,Adept,Adept,Adept,Somewhat Capable,Proficient,Somewhat Capable,Somewhat Capable,Somewhat Capable,Somewhat Capable,,,,,,,,7,1,,2,,3,,,,,,,,4,,,5,,,,,,6,,Yes,,Male,White
9/10/2019 18:04,HHYF@sandiego.edu,29,LEE,VSY,Electrcial Engineering,3.73,Contributor,2-3 hours outside of class per week,4,2,,Adept,Proficient,Proficient,Somewhat capable,Somewhat capable,Interested and able to learn,,Interested and able to learn,Somewhat familiar,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Proficient,Proficient,Proficient,Somewhat capable,Proficient,Somewhat familiar,Interested and able to learn,Somewhat capable,Somewhat familiar,Somewhat Capable,Proficient,Adept,Adept,Interested and able to learn,Somewhat Familiar,Proficient,Somewhat Capable,Somewhat Capable,Interested and able to learn,Somewhat Capable,Interested and able to learn,Interested and able to learn,Interested and able to learn,Somewhat Familiar,Interested and able to learn,Interested and able to learn,,,,,,3,,,4,5,,,,,,2,,1,7,,,,,6,,,,,,,,No,,Female,White
9/10/2019 18:10,WJYL@sandiego.edu,30,LBA,TJT,Mechanical Engineering,3.77,Leader,6 hours+ outside class per week - this is a big priority for me,4,1,N/A,Proficient,Proficient,Proficient,Adept,Proficient,Adept,Adept,Adept,Proficient,Proficient,Somewhat capable,Proficient,Interested and able to learn,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,Proficient,Proficient,Somewhat Capable,Somewhat Capable,Somewhat Familiar,Interested and able to learn,No interest,Somewhat Familiar,No interest,Interested and able to learn,No interest,No interest,No interest,No interest,No interest,No interest,No interest,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,Yes,,Male,White
9/10/2019 18:13,SSZO@sandiego.edu,31,UJI,KUN,Electrcial Engineering,3.16,Contributor,4-6 hours outside of class per week,3,2,,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat capable,Somewhat familiar,Interested and able to learn,Interested and able to learn,Interested and able to learn,Somewhat capable,Somewhat capable,Somewhat familiar,Interested and able to learn,Adept,Somewhat capable,Somewhat familiar,Somewhat capable,Somewhat capable,Somewhat familiar,Somewhat capable,Somewhat familiar,Interested and able to learn,Proficient,Proficient,Somewhat Capable,Somewhat Capable,No interest,No interest,Somewhat Capable,Somewhat Familiar,No interest,No interest,Somewhat Capable,Somewhat Capable,Interested and able to learn,Interested and able to learn,Interested and able to learn,No interest,Somewhat Familiar,2,6,,,,,1,,,,,,4,7,3,,,,5,,,,,,,,,,,,,No,,Male,White
9/10/2019 18:18,JTAX@sandiego.edu,32,OQO,AII,Mechanical Engineering,3.13,Leader,4-6 hours outside of class per week,3,1,,Somewhat capable,Adept,Adept,Proficient,Somewhat capable,Somewhat familiar,Somewhat capable,Proficient,Interested and able to learn,Proficient,Interested and able to learn,Proficient,Somewhat capable,Interested and able to learn,Interested and able to learn,Interested and able to learn,Somewhat familiar,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Adept,Somewhat Familiar,Somewhat Capable,Somewhat Capable,Interested and able to learn,Somewhat Capable,Interested and able to learn,Somewhat Familiar,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,No interest,Interested and able to learn,Interested and able to learn,,,,6,7,4,,,1,2,5,3,,,,,,,,,,,,,,,,,,,,No,,Male,White
9/10/2019 18:24,ODEJ@sandiego.edu,33,PJL,YCX,Mechanical Engineering,3.04,Contributor,4-6 hours outside of class per week,5,1,,Proficient,Proficient,Adept,Adept,Adept,Adept,Adept,Proficient,Proficient,Adept,Proficient,Adept,Proficient,Adept,Somewhat capable,Somewhat familiar,Proficient,Proficient,Somewhat familiar,Interested and able to learn,Proficient,Somewhat familiar,Adept,Proficient,Adept,Adept,No interest,Proficient,Proficient,Adept,Adept,Somewhat Capable,Interested and able to learn,Interested and able to learn,Somewhat Capable,Interested and able to learn,No interest,No interest,No interest,7,,4,,,,5,3,6,,2,,1,,,Avoid,Avoid,Avoid,,,,,,,,,,,,,,No,,Male,White
9/10/2019 18:25,GQAJ@sandiego.edu,34,ZMG,WOE,Computer Science,3.33,Contributor,6 hours+ outside class per week - this is a big priority for me,5,2,,Interested and able to learn,Proficient,Adept,Proficient,Proficient,Interested and able to learn,No interest,Interested and able to learn,Interested and able to learn,No interest,No interest,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Somewhat familiar,Interested and able to learn,Somewhat familiar,Interested and able to learn,Interested and able to learn,No interest,Adept,Adept,Adept,Adept,Adept,Adept,Interested and able to learn,Proficient,Adept,Adept,Interested and able to learn,Interested and able to learn,Adept,Interested and able to learn,Proficient,Interested and able to learn,Somewhat Capable,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,1,2,6,3,5,4,Avoid,7,Avoid,Avoid,Avoid,No,,Male,White
9/10/2019 18:26,RYLA@sandiego.edu,35,AQO,FOH,Mechanical Engineering,3.5,Contributor,2-3 hours outside of class per week,3,4,,Proficient,Proficient,Somewhat capable,Somewhat familiar,Interested and able to learn,No interest,Somewhat capable,Adept,Somewhat familiar,Proficient,Somewhat familiar,Proficient,Adept,Somewhat familiar,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,Adept,Somewhat Capable,,Somewhat Familiar,No interest,Somewhat Familiar,Interested and able to learn,Somewhat Familiar,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,Yes,,Male,White
9/10/2019 18:28,NEFI@sandiego.edu,36,RMH,YAF,Electrcial Engineering,3.55,Contributor,4-6 hours outside of class per week,4,2,,Proficient,Somewhat capable,Somewhat capable,Somewhat capable,Somewhat familiar,Interested and able to learn,Interested and able to learn,Interested and able to learn,Somewhat familiar,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Somewhat capable,Somewhat capable,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Interested and able to learn,Interested and able to learn,Proficient,Interested and able to learn,Somewhat Capable,Somewhat Capable,Interested and able to learn,Interested and able to learn,Interested and able to learn,Somewhat Familiar,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Avoid,,Avoid,6,Avoid,Avoid,,3,Avoid,,7,Avoid,1,4,Avoid,2,,5,,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,No,,Male,Hispanic or Latino
9/10/2019 18:44,TWCS@sandiego.edu,37,HDI,BME,Mechanical Engineering,3.87,Contributor,4-6 hours outside of class per week,3,3,,Proficient,Proficient,Somewhat capable,Somewhat capable,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Interested and able to learn,Adept,Interested and able to learn,Proficient,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Adept,Adept,Proficient,Proficient,Somewhat Familiar,Interested and able to learn,Somewhat Capable,Proficient,Proficient,Somewhat Familiar,Somewhat Familiar,Somewhat Capable,Somewhat Familiar,Somewhat Familiar,Somewhat Familiar,Somewhat Familiar,Somewhat Familiar,5,,,,4,1,3,2,,,,,,,,,,,,,,,,,,,,7,,,6,No,,Male,Hispanic or Latino
9/10/2019 18:46,GPKA@sandiego.edu,38,RKQ,BUB,Mechanical Engineering,3.76,Contributor,2-3 hours outside of class per week,3,3,,Proficient,Proficient,Proficient,Adept,Proficient,Somewhat capable,Somewhat capable,Adept,Adept,Adept,Somewhat familiar,Adept,Somewhat capable,Proficient,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Adept,Adept,Somewhat Familiar,Somewhat Capable,Interested and able to learn,Interested and able to learn,Interested and able to learn,Somewhat Capable,Interested and able to learn,Somewhat Capable,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,,1,6,,3,2,,,,,5,,4,,7,,,,,,,,,,,,,,,,,No,,Male,Hispanic or Latino
9/10/2019 18:49,JFRR@sandiego.edu,39,RMW,MRZ,Mechanical Engineering,3.63,Contributor,6 hours+ outside class per week - this is a big priority for me,3,2,,Adept,Adept,Adept,Adept,Adept,Adept,Adept,Proficient,Proficient,Adept,Somewhat familiar,Proficient,Somewhat familiar,Somewhat capable,Interested and able to learn,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Interested and able to learn,Adept,Adept,Proficient,Proficient,Proficient,Adept,Somewhat Familiar,Somewhat Capable,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Avoid,Avoid,,,,,,,6,5,7,4,1,2,3,,,,,,,,,,,,,,,,,No,,Male,"Hispanic or Latino, Asian / Pacific Islander, White"
9/10/2019 18:54,GEOO@sandiego.edu,40,VJE,FMM,Mechanical Engineering,3.73,Contributor,4-6 hours outside of class per week,3,1,,Somewhat capable,Proficient,Proficient,Proficient,Somewhat capable,Proficient,Somewhat capable,Proficient,Proficient,Proficient,Proficient,Interested and able to learn,Interested and able to learn,Interested and able to learn,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,Proficient,Proficient,No interest,Somewhat Familiar,Interested and able to learn,Somewhat Capable,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,4,,7,,5,,,,Avoid,,2,Avoid,,1,3,,6,Avoid,,,,,,,,,,,,,,No,,Male,Middle Eastern or North African
9/10/2019 18:55,BAOL@sandiego.edu,41,ECR,GPH,Electrcial Engineering,3.41,Contributor,6 hours+ outside class per week - this is a big priority for me,5,1,,Adept,Adept,Adept,Adept,Not interested,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Adept,Adept,Adept,Adept,Adept,Adept,Adept,Adept,Adept,Adept,Adept,Adept,Adept,Somewhat Capable,Somewhat Capable,Somewhat Capable,Proficient,Interested and able to learn,Interested and able to learn,Proficient,Proficient,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,,,,,,,,,,,,,1,5,,2,,,3,,,,6,,4,,,7,,,,No,,Male,White
9/10/2019 18:56,DFYB@sandiego.edu,42,CBK,MTC,Mechanical Engineering,3.05,Contributor,4-6 hours outside of class per week,4,2,,Proficient,Proficient,Proficient,Interested and able to learn,Proficient,Somewhat capable,Somewhat capable,Proficient,Proficient,Somewhat familiar,Proficient,Somewhat familiar,Somewhat familiar,Interested and able to learn,Interested and able to learn,No interest,Interested and able to learn,Interested and able to learn,No interest,No interest,No interest,No interest,No interest,Proficient,Somewhat Familiar,Somewhat Familiar,No interest,No interest,Interested and able to learn,Somewhat Familiar,Somewhat Familiar,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Avoid,5,,Avoid,,2,1,6,,4,,,3,Avoid,,,,,7,,,,,,,,,,,,,No,,Male,White
9/10/2019 18:58,LUVW@sandiego.edu,43,JFP,RCI,Electrcial Engineering,3.9,Contributor,4-6 hours outside of class per week,1,3,ECR GPH,Proficient,Somewhat capable,Somewhat familiar,Somewhat familiar,Interested and able to learn,Interested and able to learn,No interest,No interest,No interest,No interest,No interest,No interest,No interest,Proficient,No interest,Somewhat familiar,Somewhat capable,Somewhat capable,Interested and able to learn,Interested and able to learn,No interest,No interest,Proficient,Proficient,Somewhat Familiar,Somewhat Familiar,No interest,Somewhat Familiar,Somewhat Capable,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,,,3,1,2,4,,5,Avoid,,,,,,,,,Avoid,,,,,,Avoid,,,,,,,,No,,Male,Middle Eastern or North African
9/10/2019 18:58,XWUO@sandiego.edu,44,JSM,JXB,Electrcial Engineering,3.27,Contributor,4-6 hours outside of class per week,4,3,,Proficient,Proficient,Somewhat capable,Proficient,Somewhat capable,Interested and able to learn,Interested and able to learn,No interest,No interest,No interest,No interest,No interest,No interest,Proficient,No interest,Somewhat familiar,Somewhat capable,Somewhat capable,Interested and able to learn,Interested and able to learn,No interest,No interest,Proficient,Proficient,Somewhat Familiar,Somewhat Capable,No interest,Somewhat Capable,Somewhat Capable,Proficient,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,,,3,1,2,4,,5,Avoid,,,,,,,,,Avoid,,,,,,Avoid,,,,,,,,No,,Male,Middle Eastern or North African
9/10/2019 19:04,VMQP@sandiego.edu,45,XOC,QJL,Electrcial Engineering,3.5,Contributor,4-6 hours outside of class per week,3,1,,Proficient,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat capable,No interest,No interest,No interest,No interest,No interest,No interest,No interest,Proficient,Somewhat capable,Somewhat familiar,Somewhat capable,Somewhat familiar,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Proficient,Proficient,Somewhat Familiar,Somewhat Familiar,Interested and able to learn,Interested and able to learn,Somewhat Familiar,Somewhat Familiar,No interest,No interest,Somewhat Familiar,No interest,No interest,No interest,Interested and able to learn,Interested and able to learn,Interested and able to learn,,,,,6,5,,4,,,2,,,1,3,,,,,,,,,,,,,7,,,,No,,Male,Middle Eastern or North African
9/10/2019 19:11,CUQT@sandiego.edu,46,CZP,JHE,Mechanical Engineering,3.14,Contributor,4-6 hours outside of class per week,5,1,,Adept,Proficient,Somewhat capable,Proficient,Somewhat capable,Adept,Proficient,Adept,Somewhat capable,Adept,Somewhat familiar,Adept,Somewhat familiar,Somewhat capable,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,Somewhat Capable,Somewhat Capable,Somewhat Familiar,Somewhat Familiar,Somewhat Capable,No interest,No interest,Somewhat Familiar,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,5,1,,Avoid,3,2,,,7,,4,,6,,,,,Avoid,Avoid,,,,,,,,,,,,,No,,Male,White
9/10/2019 19:16,IDEV@sandiego.edu,47,TAH,MMJ,Computer Science,3.48,Teammate,6 hours+ outside class per week - this is a big priority for me,3,4,,Adept,Proficient,Proficient,Adept,Proficient,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Somewhat familiar,No interest,Interested and able to learn,Interested and able to learn,No interest,No interest,Somewhat capable,Interested and able to learn,Interested and able to learn,Somewhat familiar,Interested and able to learn,No interest,No interest,Proficient,Adept,Somewhat Familiar,Somewhat Familiar,Interested and able to learn,Somewhat Familiar,Interested and able to learn,Adept,Adept,Adept,Somewhat Capable,Proficient,Proficient,Adept,Somewhat Capable,Somewhat Capable,Proficient,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,5,Avoid,Avoid,4,Avoid,6,3,7,2,Avoid,1,Avoid,Avoid,Avoid,No,,Prefer not to say,Prefer not to say
9/10/2019 19:16,PQWG@sandiego.edu,48,XRP,ZCL,Electrcial Engineering,3.98,Contributor,4-6 hours outside of class per week,3,3,,Proficient,Proficient,Proficient,Somewhat capable,Proficient,Interested and able to learn,No interest,No interest,No interest,Interested and able to learn,No interest,No interest,No interest,Proficient,Somewhat capable,Somewhat familiar,Somewhat familiar,Somewhat capable,Somewhat familiar,Interested and able to learn,Somewhat capable,Interested and able to learn,Somewhat Familiar,Adept,Somewhat Familiar,Somewhat Capable,Interested and able to learn,Interested and able to learn,Somewhat Capable,Proficient,Interested and able to learn,Interested and able to learn,Somewhat Capable,Somewhat Familiar,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,,,,,,6,,4,7,,2,,,1,5,,,,3,,,,,,,,,,,,,No,,Male,Middle Eastern or North African
9/10/2019 19:17,PHPR@sandiego.edu,49,PNB,YCR,Mechanical Engineering,3.67,Contributor,"4 to 6 hours per week; however, I sometimes have very busy weeks due to ROTC where I will not be able to do very much, maybe 1 week every month.",2,1,,Adept,Proficient,Adept,Somewhat capable,Interested and able to learn,Interested and able to learn,Interested and able to learn,Proficient,Proficient,Proficient,Somewhat familiar,Adept,Interested and able to learn,Somewhat capable,No interest,No interest,Somewhat familiar,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Proficient,No interest,Somewhat Familiar,Somewhat Capable,Somewhat Capable,Interested and able to learn,Interested and able to learn,Somewhat Capable,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,1,5,2,,,,,,3,,,,4,6,,,7,,,,,,,,,,,,,,,No,,Male,"Native American or American Indian, White"
9/10/2019 19:19,ULEF@sandiego.edu,50,DQE,NLR,Computer Science,3.96,Contributor,2-3 hours outside of class per week,3,1,,Somewhat capable,Somewhat capable,Adept,Adept,Proficient,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,Somewhat familiar,No interest,No interest,No interest,Interested and able to learn,No interest,No interest,No interest,Adept,Adept,Somewhat Familiar,Somewhat Familiar,Interested and able to learn,Somewhat Familiar,No interest,Adept,Adept,Proficient,Somewhat Familiar,Somewhat Capable,Adept,Somewhat Capable,Proficient,Interested and able to learn,Interested and able to learn,,,,,,,,,,,,,,,,,,,,,4,7,6,,3,5,2,1,,,Avoid,No,,Male,White
9/10/2019 19:21,NCHT@sandiego.edu,51,RWA,PUC,Computer Science,3.58,Contributor,4-6 hours outside of class per week,3,2,,Adept,Proficient,Proficient,Proficient,Proficient,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,Adept,Adept,Adept,Adept,Adept,Adept,Interested and able to learn,Adept,Adept,Adept,Interested and able to learn,Adept,Adept,Adept,Adept,Adept,Adept,,,,,,,,,,,,,,,,,,,,,,,,2,7,1,4,3,5,,6,No,,Male,Prefer not to say
9/10/2019 19:37,YEGQ@sandiego.edu,52,JJH,WSP,Computer Science,3.21,Contributor,4-6 hours outside of class per week,5,3,,Adept,Adept,Adept,Proficient,Adept,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,Adept,Adept,Somewhat Capable,Interested and able to learn,Somewhat Capable,Somewhat Capable,Interested and able to learn,Somewhat Capable,Proficient,Proficient,Somewhat Familiar,Proficient,Somewhat Capable,Somewhat Familiar,Somewhat Capable,Interested and able to learn,Somewhat Capable,,,,,,,,,,,,,,,,,,,,,6,1,1,1,7,7,7,3,4,Avoid,5,Yes,,Prefer not to say,Prefer not to say
9/10/2019 19:42,CUUV@sandiego.edu,53,QQF,ADV,Computer Science,3.33,Contributor,4-6 hours outside of class per week,4,2,n/a,Somewhat capable,Adept,Adept,Proficient,Interested and able to learn,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,Somewhat familiar,No interest,No interest,No interest,No interest,Interested and able to learn,No interest,No interest,No interest,No interest,Adept,Somewhat Capable,Somewhat Capable,No interest,No interest,Interested and able to learn,Proficient,Proficient,Proficient,Adept,Interested and able to learn,Interested and able to learn,Somewhat Capable,Somewhat Capable,Somewhat Familiar,Somewhat Familiar,,,,,,,,,3,,2,,,,,,,1,,,7,,,5,,6,,,4,,,No,,Male,White
9/10/2019 19:44,OQDJ@sandiego.edu,54,EGC,TOJ,Mechanical Engineering,3.74,Leader,6 hours+ outside class per week - this is a big priority for me,3,2,,Proficient,Adept,Adept,Adept,Proficient,Adept,Adept,Adept,Adept,Adept,Adept,Adept,Adept,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Adept,Adept,Somewhat Capable,Somewhat Capable,Somewhat Familiar,Somewhat Familiar,Adept,Somewhat Familiar,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Somewhat Familiar,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,,,,Avoid,,Avoid,,,4,7,,3,1,Avoid,5,2,6,,,,,,,,,,,,,,,No,,Male,White
9/10/2019 19:52,GVET@sandiego.edu,55,PTC,ZZN,Mechanical Engineering,3.26,Contributor,4-6 hours outside of class per week,4,2,,Proficient,Somewhat capable,Proficient,Somewhat capable,Somewhat familiar,Adept,Proficient,Somewhat capable,Somewhat familiar,Proficient,Somewhat familiar,Somewhat capable,Interested and able to learn,No interest,No interest,No interest,Interested and able to learn,No interest,No interest,Interested and able to learn,Interested and able to learn,No interest,Adept,Adept,Somewhat Familiar,Somewhat Familiar,Adept,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,Yes,,Male,White
9/10/2019 19:52,OAQQ@sandiego.edu,56,WUS,CNX,Computer Science,3.34,Contributor,2-3 hours outside of class per week,2,1,,Proficient,Somewhat capable,Proficient,Proficient,Somewhat familiar,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,Proficient,Proficient,Interested and able to learn,Somewhat Capable,Proficient,Proficient,No interest,Proficient,Proficient,Proficient,Interested and able to learn,Interested and able to learn,Somewhat Capable,Somewhat Familiar,Interested and able to learn,Somewhat Capable,Interested and able to learn,,,,,,,Avoid,,,,,,,,,,,,,,4,Avoid,,7,3,2,,6,Avoid,1,5,No,,Male,White
9/10/2019 20:02,MXAG@sandiego.edu,57,FGL,LAV,Computer Science,3.3,Contributor,2-3 hours outside of class per week,3,2,,Proficient,Proficient,Proficient,Adept,Somewhat capable,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,Adept,Adept,Somewhat Capable,Somewhat Capable,Interested and able to learn,Somewhat Capable,No interest,Proficient,Adept,Proficient,Somewhat Familiar,Somewhat Capable,Somewhat Familiar,Interested and able to learn,Somewhat Familiar,Somewhat Familiar,Proficient,,,,,,,6,,,,,,5,,,,,,,,7,Avoid,Avoid,,,4,1,3,2,Avoid,,No,,Male,"Asian / Pacific Islander, White"
